createdon	request_string	tag
"1. Вопрос: ""с"" "	 Система: 2 	 Название системы: Кадры  
"2. Вопрос: ""т"" "	 Система: 6 	 Название системы: Охрана труда  
"3. Вопрос: ""4"" "	 Система: 4 	 Название системы: Финансист  
"4. Вопрос: ""н"" "	 Система: 1 	 Название системы: Бухгалтер  
"5. Вопрос: ""к"" "	 Система: 3 	 Название системы: Юрист  
"6. Вопрос: ""р"" "	 Система: 5 	 Название системы: Госзаказ  
"7. Вопрос: ""ф"" "	 Система: 11 	 Название системы: Генеральный директор  
Вопрос: о код для сооружения по хранению гсм в размере 20м³ 	 14 	 Система Промбезопасность
учет основные средства 	 1 	 Система Бухгалтер
газа и воды это услуга или товар 	 10 	 Система Управление многоквартирным домом
тарифы страховых взносов 	 1 	 Система Бухгалтер
